CSD ID, lambda_force (eV)
PEWNAI,0.46607
PEWXAQ01,1.44221
PEXGII,0.32204
PEYQOA,0.34416
PEZMEN,1.0226
PIBQOI,0.63703
PIDDIR,0.41906
PIDRIF,0.74859
PIDZEK,0.21258
PIFSIJ,0.32687
PIGRAA,0.28555
PIJFIX,1.1569
PIJFOD,1.52998
PIJSOS,0.2535
PIKGUL,2.38763
PILFAU,0.33607
PIQCAV,0.13182
PIRRIR,0.27758
PIVLAK,0.25236
PIVLEO,0.19797
PIXWIE,0.12125
PMYDFL,2.2346
POBGIZ,0.1508
POBGOF,0.16429
POBGUL,0.18606
POBHAS,0.20726
POBSAD,0.48609
POBVUA,0.48388
POCTIM,0.35913
POGMON,1.08636
POGSUA,0.08123
POGTAH,0.0885
POGTUB,0.08877
POGVAJ01,0.10002
POHHEB,0.65104
POHTAH,0.44906
POLZEV,0.13332
POMXAT,0.42626
PONSER,0.32399
POPYUR,0.26559
PORNAO,0.40835
POTFOU,0.38712
POXSIE,0.37881
POZHAQ,0.22732
PUBPEJ,0.10973
PUBZOB,0.10195
PUFSIT,0.18993
PUHZOI,0.37014
PUJPIU,0.40248
PULMIV,0.33388
PULXEB,0.47696
PUMXEA,0.88859
PUMXIE,0.2364
PUNBAD,0.3314
PUNBIL,0.28386
PUNCAE,0.56962
PUQKOD,0.23718
PURDEN,0.30284
PUSPIE,0.21642
PUSPOK,0.2085
PUSPUQ,0.20538
PUSQAX,0.20661
PUSQEB,0.1936
PUVMAV,0.91474
QADQET,0.43752
QAKDUD,0.25909
QALLOH,0.04925
QAPNUT,0.7726
QAVWAM,0.82548
QAVWEQ,1.25389
QAWVIU,0.88336
QAZSUH,0.14612
QEBWEZ,0.1176
QECVUP,0.56637
QEGSUT,0.35615
QEMYIR,0.21324
QENXOZ,0.24108
QENXUF,0.17074
QENYAM,0.31026
QEPNEG,0.24493
QERNOT,0.74764
QERWUF,0.43068
QEVQEQ,0.34187
QEVTUH,0.32172
QEVVAP,0.32465
QEVVET,0.32425
QEWCAZ,0.32504
QEYKAJ,0.13054
QIBHAL,0.39225
QICLOG01,0.25605
QICMOH,0.32891
QICPAW,0.192
QICXIM,0.2893
QIDFUH,0.26864
QIJNIJ,0.29685
QIRQAJ,0.06147
QITZOJ,0.19646
QIVDIJ,0.36776
QIXVID,0.15704
QIXWAW,0.21375
QIYPUM,0.22433
QIYQIB,0.5512
QIYRAU,0.37839
QIYSUO01,0.44138
QOCFAQ,0.13791
QOCFEU,0.19119
QOCTIN,0.36128
QOJWIX,0.36029
QOPHUY,0.30089
QORCEH,0.3564
QORCIL,0.34009
QORQAQ,0.29781
QOSYON,0.08039
QOWLEW,0.34991
QOWQOK,0.19371
QOWQUQ,0.16208
